Model,RMSE,MAE,R²,AIC,BIC,LogLik
GLR (Linear),21796.247867327966,15335.765954933257,0.21063560427362993,114772.9258151746,114960.23351076424,-57356.504792916254
Polynomial (LR),21640.79328484059,15143.070366591974,0.2218552158143149,114711.02365777147,114904.8622051044,-57324.55665862199
Random Forest,20944.29998160347,14451.278650918573,0.2711372476928069,,—,—
